Date,TSLA,"Tesla, Inc.","Tesla,"
2018-01-14,1.0,0.0,0.0
2018-01-15,2.3000000000000003,0.0,0.0
2018-01-16,4.7,4.0,0.0
2018-01-17,4.0,0.0,0.0
2018-01-18,5.6000000000000005,0.0,5.9399999999999995
2018-01-19,5.2,0.0,0.0
2018-01-20,1.5,0.0,0.0
2018-01-21,0.4,0.0,0.0
2018-01-22,4.7,0.0,0.0
2018-01-23,7.9,0.0,0.0
2018-01-24,5.6000000000000005,0.0,5.9399999999999995
2018-01-25,6.2,0.0,0.0
2018-01-26,5.7,0.0,18.0
2018-01-27,1.2000000000000002,0.0,0.0
2018-01-28,1.5,0.0,0.0
2018-01-29,4.1000000000000005,0.0,0.0
2018-01-30,5.300000000000001,0.0,0.0
2018-01-31,5.300000000000001,0.0,5.76
2018-02-01,3.8000000000000003,0.0,0.0
2018-02-02,3.3000000000000003,0.0,0.0
2018-02-03,0.8,0.0,0.0
2018-02-04,0.9,0.0,0.0
2018-02-05,3.9000000000000004,0.0,0.0
2018-02-06,6.0,0.0,4.92
2018-02-07,10.0,0.0,0.0
2018-02-08,10.0,0.0,4.92
2018-02-09,7.300000000000001,0.0,5.04
2018-02-10,1.3,4.0,0.0
2018-02-11,0.8,0.0,0.0
2018-02-12,4.0,0.0,4.92
2018-02-13,4.0,0.0,5.04
2018-02-14,3.9000000000000004,0.0,5.04
2018-02-15,3.4000000000000004,0.0,0.0
2018-02-16,3.1,0.0,0.0
2018-02-17,1.0,0.0,11.879999999999999
2018-02-18,0.6000000000000001,0.0,12.0
2018-02-19,1.3,0.0,0.0
2018-02-20,3.8000000000000003,0.0,0.0
2018-02-21,2.7,0.0,0.0
2018-02-22,3.7,0.0,4.92
2018-02-23,3.5,0.0,5.04
2018-02-24,1.2000000000000002,0.0,0.0
2018-02-25,0.8,0.0,0.0
2018-02-26,2.7,0.0,0.0
2018-02-27,3.8000000000000003,0.0,0.0
2018-02-28,3.6,0.0,0.0
2018-03-01,2.04,0.0,0.0
2018-03-02,2.4,0.0,6.37
2018-03-03,0.6,0.0,0.0
2018-03-04,0.36,0.0,0.0
2018-03-05,1.68,0.0,6.37
2018-03-06,2.04,14.1,9.620000000000001
2018-03-07,2.04,0.0,12.870000000000001
2018-03-08,1.92,0.0,0.0
2018-03-09,2.16,0.0,0.0
2018-03-10,0.84,0.0,7.67
2018-03-11,0.36,0.0,0.0
2018-03-12,2.76,0.0,0.0
2018-03-13,2.16,0.0,6.5
2018-03-14,2.76,0.0,6.5
2018-03-15,2.76,0.0,0.0
2018-03-16,2.28,0.0,6.76
2018-03-17,0.48,0.0,0.0
2018-03-18,0.24,0.0,0.0
2018-03-19,2.88,0.0,13.0
2018-03-20,2.6399999999999997,0.0,6.5
2018-03-21,3.12,0.0,0.0
2018-03-22,2.76,0.0,0.0
2018-03-23,2.4,0.0,0.0
2018-03-24,0.6,0.0,0.0
2018-03-25,0.48,0.0,0.0
2018-03-26,3.48,0.0,6.63
2018-03-27,6.24,0.0,6.76
2018-03-28,12.0,0.0,0.0
2018-03-29,10.2,15.0,10.27
2018-03-30,5.64,0.0,7.28
2018-03-31,1.68,0.0,7.930000000000001
2018-04-01,2.56,0.0,0.0
2018-04-02,15.200000000000001,0.0,11.96
2018-04-03,16.0,12.0,46.0
2018-04-04,11.040000000000001,0.0,11.5
2018-04-05,9.44,0.0,0.0
2018-04-06,8.0,0.0,0.0
2018-04-07,2.08,0.0,0.0
2018-04-08,1.12,0.0,0.0
2018-04-09,6.88,6.0,0.0
2018-04-10,7.5200000000000005,0.0,11.5
2018-04-11,7.36,0.0,11.5
2018-04-12,6.5600000000000005,0.0,0.0
2018-04-13,7.04,0.0,11.96
2018-04-14,1.92,0.0,0.0
2018-04-15,0.64,0.0,0.0
2018-04-16,4.96,0.0,0.0
2018-04-17,8.32,6.0,11.5
2018-04-18,6.5600000000000005,6.0,11.5
2018-04-19,4.96,0.0,0.0
2018-04-20,5.76,0.0,0.0
2018-04-21,1.12,0.0,0.0
2018-04-22,0.96,0.0,13.8
2018-04-23,4.8,0.0,0.0
2018-04-24,5.28,0.0,0.0
2018-04-25,4.48,0.0,0.0
2018-04-26,5.12,0.0,11.5
2018-04-27,4.48,6.12,0.0
2018-04-28,1.44,0.0,0.0
2018-04-29,1.12,0.0,0.0
2018-04-30,5.12,0.0,0.0
2018-05-01,4.08,0.0,0.0
2018-05-02,10.030000000000001,0.0,0.0
2018-05-03,17.0,0.0,17.22
2018-05-04,7.99,0.0,17.849999999999998
2018-05-05,2.5500000000000003,0.0,0.0
2018-05-06,0.8500000000000001,0.0,0.0
2018-05-07,6.29,0.0,0.0
2018-05-08,5.61,0.0,17.009999999999998
2018-05-09,4.760000000000001,0.0,17.22
2018-05-10,4.590000000000001,0.0,17.64
2018-05-11,4.590000000000001,0.0,0.0
2018-05-12,1.87,0.0,0.0
2018-05-13,0.8500000000000001,0.0,0.0
2018-05-14,4.930000000000001,0.0,0.0
2018-05-15,4.930000000000001,0.0,17.22
2018-05-16,4.42,0.0,0.0
2018-05-17,4.08,10.89,17.64
2018-05-18,4.08,11.0,17.849999999999998
2018-05-19,1.87,0.0,21.0
