Date,PFE,"Pfizer, Inc.","Pfizer,"
2019-10-07,2.87,,0.0
2019-10-08,2.87,,0.0
2019-10-09,4.760000000000001,,0.0
2019-10-10,4.2,,0.0
2019-10-11,3.6400000000000006,,0.0
2019-10-12,1.05,,0.0
2019-10-13,1.33,,0.0
2019-10-14,2.0300000000000002,,0.0
2019-10-15,2.3800000000000003,,0.0
2019-10-16,2.87,,0.0
2019-10-17,4.69,,13.35
2019-10-18,5.390000000000001,,0.0
2019-10-19,0.77,,0.0
2019-10-20,1.05,,0.0
2019-10-21,3.0100000000000002,,0.0
2019-10-22,4.69,,0.0
2019-10-23,4.550000000000001,,0.0
2019-10-24,3.5000000000000004,,13.049999999999999
2019-10-25,5.880000000000001,,0.0
2019-10-26,1.33,,0.0
2019-10-27,1.7500000000000002,,15.0
2019-10-28,4.9,,0.0
2019-10-29,7.000000000000001,,0.0
2019-10-30,6.790000000000001,,0.0
2019-10-31,3.7800000000000002,,0.0
2019-11-01,4.4399999999999995,,0.0
2019-11-02,1.14,,0.0
2019-11-03,0.54,,0.0
2019-11-04,3.3,,0.0
2019-11-05,6.0,,14.7
2019-11-06,4.14,,14.7
2019-11-07,3.2399999999999998,,30.0
2019-11-08,5.22,,0.0
2019-11-09,1.08,,0.0
2019-11-10,1.08,,0.0
2019-11-11,3.3,,0.0
2019-11-12,2.28,,14.399999999999999
2019-11-13,5.58,,0.0
2019-11-14,4.14,,0.0
2019-11-15,4.2,,0.0
2019-11-16,0.54,,0.0
2019-11-17,0.0,,0.0
2019-11-18,5.1,,0.0
2019-11-19,4.68,,0.0
2019-11-20,5.16,,0.0
2019-11-21,3.78,,0.0
2019-11-22,4.32,,0.0
2019-11-23,0.54,,0.0
2019-11-24,2.6999999999999997,,0.0
2019-11-25,4.74,,0.0
2019-11-26,2.46,,0.0
2019-11-27,3.06,,0.0
2019-11-28,2.16,,17.4
2019-11-29,3.5999999999999996,,0.0
2019-11-30,0.54,,0.0
2019-12-01,0.45,,0.0
